84.58.214.19 - - [05/May/2007:10:43:00 +0200] "GET / HTTP/1.1" 403 1118 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; de; rv:1.8.1.3) Gecko/20070309 Firefox/2.0.0.3"
84.58.214.19 - - [05/May/2007:10:43:00 +0200] "GET / HTTP/1.1" 403 1118 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; de; rv:1.8.1.3) Gecko/20070309 Firefox/2.0.0.3"
84.58.214.19 - - [05/May/2007:10:46:45 +0200] "GET / HTTP/1.1" 200 324 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; de; rv:1.8.1.3) Gecko/20070309 Firefox/2.0.0.3"
66.249.72.144 - - [05/May/2007:19:16:24 +0200] "GET /robots.txt HTTP/1.1" 404 1028 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.144 - - [05/May/2007:19:16:24 +0200] "GET / HTTP/1.1" 200 324 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.144 - - [06/May/2007:13:25:06 +0200] "GET /robots.txt HTTP/1.1" 404 1028 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.144 - - [06/May/2007:13:25:06 +0200] "GET / HTTP/1.1" 200 324 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
65.55.212.43 - - [07/May/2007:02:03:35 +0200] "GET /robots.txt HTTP/1.0" 404 1028 "-" "msnbot-media/1.0 (+http://search.msn.com/msnbot.htm)"
65.55.212.43 - - [07/May/2007:02:03:35 +0200] "GET / HTTP/1.0" 200 324 "-" "msnbot-media/1.0 (+http://search.msn.com/msnbot.htm)"
66.249.72.196 - - [08/May/2007:06:12:52 +0200] "GET /robots.txt HTTP/1.1" 404 1028 "-" "Googlebot-Image/1.0"
66.249.72.196 - - [08/May/2007:06:12:53 +0200] "GET /img/smarty.gif HTTP/1.1" 403 1018 "-" "Googlebot-Image/1.0"
66.249.72.196 - - [09/May/2007:13:05:11 +0200] "GET /robots.txt HTTP/1.1" 404 1028 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
